nombre;precio;stock;categoria
Portátil HP 15;649.99;15;Electrónica
Camiseta Básica Algodón;19.99;100;Ropa
Silla Oficina Ergonómica;159.99;25;Hogar
Auriculares Bluetooth;89.99;50;Electrónica
Pantalón Vaquero;45.50;60;Ropa
Lámpara LED Escritorio;34.99;40;Hogar
Teclado Mecánico RGB;129.99;30;Electrónica
Zapatillas Running;79.99;45;Ropa
Mesa Escritorio Roble;249.99;12;Hogar
Ratón Inalámbrico;25.99;80;Electrónica
Sudadera Con Capucha;39.99;55;ropa
Estantería Modular;119.99;18;Hogar
Monitor 27 Pulgadas;299.99;22;Electrónica
Chaqueta Vaquera;69.99;35;Ropa
Alfombra Salón 200x300;89.99;20;Hogar
Tablet Android 10;199.99;28;Electrónica
Vestido Verano Floral;34.99;70;Ropa
Espejo Pared Grande;79.99;15;Hogar
Webcam Full HD;59.99;42;Electrónica
Camisa Manga Larga;29.99;65;Ropa
Cojines Decorativos Set 4;24.99;90;Hogar
Disco Duro Externo 2TB;89.99;38;Electrónica
Calcetines Pack 6 Pares;14.99;120;Ropa
Cortinas Blackout;49.99;30;Hogar
Altavoz Bluetooth Portátil;45.99;55;Electrónica
Gorra Deportiva;15.99;85;Ropa
Reloj Pared Moderno;29.99;48;Hogar
Cable HDMI 2m;12.99;95;Electrónica
Bufanda Lana;22.99;52;Ropa
Macetero Cerámica Grande;34.99;25;Hogar
Cargador Inalámbrico;39.99;60;Electrónica
Jersey Cuello Alto;49.99;40;Ropa
Cuadro Decorativo Abstract;59.99;22;Hogar
Pendrive USB 64GB;19.99;75;Electrónica
Pijama Dos Piezas;27.99;68;Ropa
Jarrón Cristal Decorativo;44.99;28;Hogar
Adaptador USB-C Hub;34.99;50;Electrónica
Cinturón Cuero;24.99;58;Ropa
Felpudo Entrada Casa;16.99;82;Hogar
Router WiFi 6;119.99;32;Electrónica
Guantes Invierno;18.99;72;Ropa
Perchero Pie Madera;69.99;20;Hogar
Funda Portátil 15.6;29.99;65;Electrónica
Mochila Urbana;54.99;45;Ropa
Organizador Cajones;21.99;55;Hogar
Batería Externa 20000mAh;49.99;48;Electrónica
Gafas Sol Polarizadas;39.99;62;Ropa
Cesta Almacenaje Mimbre;32.99;35;Hogar
Soporte Móvil Coche;14.99;88;Electrónica
Paraguas Automático;19.99;70;Ropa
